BioWare Version 5.5.1.0 Export,,,,,,,,,,,,,,,,,,
Device:,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,,
Samples (#):,12907,12907,12907,12907,12907,12907,12907,12907,12907,12907,12907,12907,12907,12907,12907,12907,,
Rate (Hz):,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,,
Contact period start (sample #):,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Contact period end (sample #):,12906,12906,12906,12906,12906,12906,12906,12906,12906,12906,12906,12906,12906,12906,12906,12906,,
Contact period start time (s):,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
Contact period end time (s):,5.377500,5.377500,5.377500,5.377500,5.377500,5.377500,5.377500,5.377500,5.377500,5.377500,5.377500,5.377500,5.377500,5.377500,5.377500,5.377500,,
First sample time (s):,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
Normalized force (N):,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,
Normalized length (m):,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,
File Information,,,,,,,,,,,,,,,,,,
Date,"Jul 16, 2024  14:49:41",,,,,,,,,,,,,,,,,
Name,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Classification,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,
abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.000000,1.341361,0.512166,183.896530,183.902135,0.033341,0.165267,-0.204417,0.009421,20.713170,-0.739414,-0.868693,383.098801,383.100499,0.022566,-0.107752,0.053040,0.069088,42.862644
0.000417,0.979683,0.391256,183.266489,183.269525,0.034646,0.163455,-0.204867,0.009263,20.789542,-0.859593,-0.748102,382.776360,382.778056,0.023297,-0.106702,0.053387,0.069405,43.022113
0.000833,1.220929,0.190505,182.792126,182.796302,0.032308,0.165454,-0.205339,0.009165,20.865750,-0.819491,-0.707947,382.147285,382.148820,0.023330,-0.107170,0.053729,0.069695,43.181385
0.001250,0.939603,0.270602,182.950739,182.953352,0.033266,0.165587,-0.205759,0.009046,20.942067,-0.779453,-0.587356,382.148102,382.149348,0.023325,-0.107475,0.054053,0.069967,43.340602
0.001667,1.060162,0.431942,184.369423,184.372977,0.033877,0.162167,-0.206198,0.008897,21.018811,-0.739477,-0.868566,381.994049,381.995752,0.022894,-0.107914,0.054362,0.070299,43.499842
0.002083,1.140641,0.150074,184.689098,184.692682,0.032358,0.163765,-0.206676,0.008793,21.095709,-0.699312,-0.707947,382.933983,382.935276,0.023352,-0.106807,0.054650,0.070599,43.659366
0.002500,1.261010,0.471736,184.212775,184.217695,0.032948,0.163196,-0.207187,0.008630,21.172487,-0.619486,-0.627680,383.405411,383.406425,0.023399,-0.106543,0.054928,0.070883,43.819096
0.002917,1.180721,0.310268,184.054160,184.058209,0.033179,0.163682,-0.207679,0.008492,21.249077,-0.819428,-0.868523,383.562721,383.564580,0.023331,-0.106323,0.055255,0.071220,43.978794
0.003333,1.100243,0.270856,182.476370,182.479888,0.031308,0.165720,-0.208146,0.008359,21.325263,-0.819366,-0.748017,381.988358,381.989969,0.023425,-0.106777,0.055605,0.071529,44.138076
0.003750,1.140450,0.512421,183.109351,183.113620,0.031916,0.162059,-0.208618,0.008174,21.401635,-0.939419,-0.587440,382.148895,382.150501,0.023521,-0.108050,0.055969,0.071793,44.297261
0.004167,1.140387,0.351208,184.846244,184.850095,0.032152,0.162672,-0.209105,0.008011,21.478468,-0.659588,-0.707862,381.677490,381.678717,0.023076,-0.107736,0.056274,0.072099,44.456381
0.004583,1.301217,0.431687,183.897511,183.902622,0.032636,0.160483,-0.209647,0.007845,21.555158,-0.819428,-0.989157,382.465157,382.467313,0.022791,-0.107332,0.056607,0.072475,44.615752
0.005000,1.461984,0.310395,183.898485,183.904558,0.033307,0.165322,-0.210225,0.007707,21.631815,-0.859530,-0.748059,383.409191,383.410884,0.023255,-0.107105,0.056971,0.072798,44.775473
0.005417,1.180721,0.310523,184.371383,184.375425,0.032403,0.163402,-0.210748,0.007572,21.708603,-0.979395,-0.667708,383.878334,383.880164,0.022297,-0.105117,0.057362,0.073082,44.935270
0.005833,1.341298,0.391511,184.372359,184.377654,0.031278,0.163981,-0.211298,0.007406,21.785447,-0.859656,-0.667665,382.152496,382.154046,0.022814,-0.108042,0.057720,0.073371,45.094696
0.006250,1.381569,0.512166,184.690079,184.695956,0.031932,0.163064,-0.211852,0.007201,21.862313,-0.739351,-0.828326,383.257256,383.258864,0.022644,-0.108144,0.058045,0.073691,45.254310
0.006667,1.100306,0.512039,183.739880,183.743888,0.033259,0.163905,-0.212347,0.006999,21.939026,-0.859593,-0.627553,383.253494,383.254972,0.022490,-0.107019,0.058392,0.073975,45.414021
0.007083,1.341488,0.350826,185.004850,185.010047,0.033320,0.164621,-0.212880,0.006858,22.015979,-0.819554,-0.748102,383.568611,383.570216,0.022809,-0.107204,0.058736,0.074278,45.573753
0.007500,1.220866,0.109898,184.371387,184.375461,0.032752,0.162858,-0.213395,0.006768,22.092844,-0.819554,-0.748017,382.619057,382.620666,0.023387,-0.106890,0.059086,0.074587,45.733277
0.007917,1.180531,0.512294,184.370406,184.374897,0.033483,0.162744,-0.213873,0.006582,22.169633,-0.939545,-0.707778,383.094551,383.096357,0.022943,-0.107195,0.059478,0.074888,45.892845
0.008333,0.939730,0.512294,183.897999,183.901113,0.033095,0.164065,-0.214292,0.006383,22.246268,-1.059409,-0.748059,382.777969,382.780166,0.022462,-0.106412,0.059891,0.075191,46.052402
0.008750,1.100243,0.310778,183.580772,183.584332,0.032386,0.163203,-0.214750,0.006223,22.322815,-0.779641,-0.667665,383.411125,383.412499,0.022730,-0.107400,0.060244,0.075469,46.212014
0.009167,1.261073,0.551833,184.054651,184.059799,0.032795,0.164815,-0.215265,0.006021,22.399394,-0.899380,-0.587356,381.993408,381.994919,0.022570,-0.107375,0.060608,0.075739,46.371320
0.009583,1.261010,0.391511,182.952204,182.956968,0.032450,0.164949,-0.215801,0.005852,22.475756,-0.859404,-0.868693,382.620026,382.621977,0.023048,-0.106872,0.060974,0.076079,46.530723
0.010000,1.421967,0.310650,183.739875,183.745640,0.032086,0.163363,-0.216344,0.005720,22.552260,-0.939545,-0.828369,382.941315,382.943363,0.022693,-0.108229,0.061366,0.076427,46.690282
0.010417,0.859441,0.270729,183.742331,183.744540,0.031885,0.162170,-0.216769,0.005610,22.628862,-1.019497,-0.828496,383.252342,383.254594,0.022686,-0.106990,0.061774,0.076774,46.849872
0.010833,1.261073,0.190123,184.372368,184.376779,0.032739,0.164034,-0.217269,0.005522,22.705717,-0.859404,-0.868481,382.150528,382.152481,0.022298,-0.107146,0.062154,0.077136,47.009200
0.011250,1.301154,0.230426,185.477260,185.481967,0.032712,0.162747,-0.217792,0.005423,22.782736,-1.019497,-0.908678,382.462234,382.464673,0.023164,-0.106768,0.062557,0.077512,47.168559
0.011667,1.060162,0.310778,182.793592,182.796931,0.032716,0.165417,-0.218270,0.005299,22.859152,-0.859530,-0.908890,382.777473,382.779518,0.022781,-0.106677,0.062931,0.077888,47.328050
0.012083,1.341425,0.310778,183.740368,183.745527,0.032830,0.163962,-0.218795,0.005173,22.935722,-0.939419,-0.868523,383.100273,383.102409,0.021903,-0.107463,0.063331,0.078253,47.487587
0.012500,1.140387,0.270856,184.844280,184.847996,0.030717,0.162700,-0.219290,0.005049,23.012620,-1.139676,-0.868566,382.146790,382.149476,0.022681,-0.106283,0.063787,0.078615,47.646892
0.012917,1.220866,0.391766,184.212778,184.217240,0.033319,0.163818,-0.219801,0.004894,23.089430,-1.059473,-0.868650,382.310944,382.313398,0.022745,-0.108115,0.064239,0.078985,47.806297
0.013333,1.341488,0.391384,184.371875,184.377170,0.032358,0.162779,-0.220349,0.004722,23.166142,-1.139613,-0.989157,384.041138,384.044102,0.022571,-0.107179,0.064692,0.079372,47.966140
0.013750,1.301154,0.512039,182.950739,182.956082,0.033163,0.165518,-0.220877,0.004523,23.242558,-0.899443,-0.748059,383.256424,383.258209,0.021977,-0.107290,0.065094,0.079689,48.125917
0.014167,1.059908,0.431942,184.214736,184.218292,0.033004,0.164405,-0.221324,0.004338,23.319182,-1.059473,-0.587271,383.724922,383.726834,0.022576,-0.106749,0.065516,0.079948,48.285781
0.014583,0.899459,0.431432,183.583225,183.585936,0.031721,0.161363,-0.221724,0.004172,23.395708,-0.939356,-0.627638,383.884186,383.885848,0.022464,-0.107131,0.065902,0.080218,48.445645
0.015000,1.100179,0.230171,183.424608,183.428052,0.031870,0.164270,-0.222172,0.004025,23.472201,-0.739603,-0.788172,382.777473,382.778999,0.022764,-0.106694,0.066244,0.080535,48.605234
