BioWare Version 5.5.1.0 Export,,,,,,,,,,,,,,,,,,
Device:,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,,
Samples (#):,18677,18677,18677,18677,18677,18677,18677,18677,18677,18677,18677,18677,18677,18677,18677,18677,,
Rate (Hz):,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,,
Contact period start (sample #):,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Contact period end (sample #):,18676,18676,18676,18676,18676,18676,18676,18676,18676,18676,18676,18676,18676,18676,18676,18676,,
Contact period start time (s):,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
Contact period end time (s):,7.781667,7.781667,7.781667,7.781667,7.781667,7.781667,7.781667,7.781667,7.781667,7.781667,7.781667,7.781667,7.781667,7.781667,7.781667,7.781667,,
First sample time (s):,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
Normalized force (N):,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,
Normalized length (m):,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,
File Information,,,,,,,,,,,,,,,,,,
Date,"Jun 20, 2024  16:06:37",,,,,,,,,,,,,,,,,
Name,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Classification,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,
abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.000000,0.199519,0.141451,-0.926055,0.957807,0.000000,0.000000,0.000000,0.000000,0.000000,-0.157612,0.055593,1.001140,1.014994,-0.066735,0.164870,0.000000,0.000000,0.000000
0.000417,-0.121951,-0.220514,-0.927036,0.960674,0.000000,0.000000,0.000017,0.000056,-0.000375,-0.077660,0.336845,1.000329,1.058374,-0.071115,0.260406,0.000041,-0.000107,0.000483
0.000833,0.039006,-0.059428,-0.769403,0.772680,0.000000,0.000000,0.000018,0.000094,-0.000794,-0.117573,0.135945,1.949573,1.957840,-0.205766,0.137830,0.000106,-0.000180,0.001131
0.001250,-0.041282,-0.100113,-2.031930,2.034814,0.000000,0.000000,0.000032,0.000136,-0.001565,-0.397593,0.176227,0.529387,0.685118,-0.290677,0.403833,0.000247,-0.000256,0.001614
0.001667,-0.081680,-0.140035,-2.191523,2.197511,0.000000,0.000000,0.000052,0.000172,-0.002423,-0.317704,0.256621,2.888703,2.917430,-0.089535,0.281427,0.000379,-0.000358,0.002577
0.002083,0.079023,0.141324,-1.560504,1.568882,0.000000,0.000000,0.000036,0.000147,-0.003007,-0.237752,0.256494,1.790469,1.824306,-0.054183,0.054487,0.000467,-0.000451,0.003421
0.002500,-0.001392,-0.059810,0.019737,0.062998,-8.756720,-20.051018,0.000034,0.000163,-0.003207,0.002355,0.055593,2.107028,2.107763,-0.051774,-0.053263,0.000500,-0.000485,0.004277
0.002917,-0.041346,-0.139907,-1.402382,1.409950,0.000000,0.000000,0.000057,0.000210,-0.003671,-0.237878,0.015396,2.108180,2.121614,-0.077501,-0.052595,0.000571,-0.000497,0.005090
0.003333,-0.162032,-0.059683,-1.085648,1.099294,0.000000,0.000000,0.000091,0.000244,-0.004178,-0.077723,0.055763,1.158797,1.162738,-0.204958,0.379010,0.000601,-0.000540,0.005683
0.003750,0.199583,-0.099986,-1.559035,1.574935,0.000000,0.000000,0.000041,0.000280,-0.004762,0.122408,0.377000,1.794536,1.837790,-0.138189,-0.133438,0.000569,-0.000652,0.006419
0.004167,0.079023,-0.059428,-1.086138,1.090629,0.000000,0.000000,-0.000006,0.000293,-0.005203,0.042456,0.055678,2.261905,2.262989,-0.063981,0.120696,0.000563,-0.000715,0.007176
0.004583,0.159502,0.141578,-0.454139,0.501725,0.000000,0.000000,-0.000061,0.000262,-0.005360,-0.197651,0.296733,0.064806,0.362375,-7.143287,-4.467965,0.000628,-0.000796,0.007465
0.005000,0.078896,-0.059556,0.653206,0.660644,-0.373599,0.578691,-0.000088,0.000259,-0.005340,-0.197651,-0.064829,1.632200,1.645401,-0.000414,0.103322,0.000694,-0.000794,0.008025
0.005417,-0.081490,0.141578,-1.878219,1.885309,0.000000,0.000000,-0.000077,0.000239,-0.005837,0.042268,-0.064829,1.474706,1.476735,-0.254702,0.302224,0.000707,-0.000773,0.008563
0.005833,0.078960,-0.221023,-0.296997,0.378541,0.000000,0.000000,-0.000082,0.000284,-0.006071,-0.157612,0.015523,0.213954,0.266193,-0.158506,0.524933,0.000764,-0.000774,0.008849
0.006250,-0.162032,0.101275,-0.296998,0.353155,0.000000,0.000000,-0.000051,0.000275,-0.006271,-0.237815,0.015396,1.790945,1.806731,-0.053842,0.000275,0.000849,-0.000791,0.009431
0.006667,0.119294,-0.059556,-1.400422,1.406755,0.000000,0.000000,-0.000061,0.000303,-0.006811,-0.117636,0.176184,1.000005,1.022198,-0.135197,0.379073,0.000907,-0.000862,0.009914
0.007083,-0.162159,-0.260817,-1.877239,1.902195,0.000000,0.000000,-0.000027,0.000381,-0.007505,-0.117573,0.296775,1.162695,1.205720,-0.145374,-0.106870,0.000964,-0.000969,0.010452
0.007500,0.038879,-0.019507,-1.084668,1.085540,0.000000,0.000000,-0.000035,0.000411,-0.007990,-0.237563,0.176184,2.104105,2.124790,0.016820,0.048352,0.001052,-0.001065,0.011209
0.007917,0.119294,-0.100241,-0.768914,0.784543,0.000000,0.000000,-0.000073,0.000461,-0.008267,-0.197713,0.377212,1.320184,1.387179,-0.100551,-0.056405,0.001112,-0.001183,0.011857
0.008333,0.038879,-0.301247,0.176880,0.351494,-0.802396,-1.229714,-0.000109,0.000562,-0.008368,0.162384,0.015608,1.947616,1.954436,-0.009627,0.028107,0.001086,-0.001226,0.012691
0.008750,0.239600,-0.140544,-1.401892,1.429147,0.000000,0.000000,-0.000201,0.000626,-0.008744,-0.077597,0.176142,2.894062,2.900456,-0.024973,-0.022215,0.001107,-0.001291,0.013689
0.009167,0.320142,-0.059556,0.020227,0.326262,0.442980,2.263087,-0.000309,0.000662,-0.008857,-0.157549,0.216339,0.850688,0.891793,-0.429730,-0.270867,0.001184,-0.001367,0.014218
0.009583,0.039006,-0.140035,-0.297487,0.331104,0.000000,0.000000,-0.000350,0.000681,-0.008980,-0.398033,0.055763,1.320678,1.380482,-0.192964,0.039519,0.001322,-0.001404,0.014801
0.010000,0.119294,0.342458,-0.610792,0.710334,0.000000,0.000000,-0.000400,0.000600,-0.009136,-0.237626,0.095790,2.263685,2.278138,-0.115705,0.071210,0.001435,-0.001444,0.015646
0.010417,0.199583,-0.059556,0.493123,0.535304,0.098847,-0.691731,-0.000483,0.000585,-0.008996,-0.277665,0.135987,1.792596,1.819063,0.020466,-0.126970,0.001540,-0.001495,0.016382
0.010833,0.279871,0.101530,0.651736,0.716516,0.221076,-0.621416,-0.000561,0.000568,-0.008857,-0.157801,0.095833,1.162695,1.177262,-0.143574,-0.097884,0.001614,-0.001540,0.016812
0.011250,-0.202113,-0.099986,-1.085648,1.108818,0.000000,0.000000,-0.000535,0.000593,-0.009199,-0.157486,0.135860,-0.258947,0.332135,0.000000,0.000000,0.001685,-0.001605,0.016901
0.011667,0.159629,-0.059301,-1.242300,1.253917,0.000000,0.000000,-0.000546,0.000624,-0.009750,-0.237626,0.296733,1.162371,1.222956,-0.196942,-0.012067,0.001764,-0.001710,0.017243
0.012083,-0.282465,-0.099986,-1.874299,1.898099,0.000000,0.000000,-0.000478,0.000654,-0.010333,-0.037810,0.176184,0.533956,0.563541,-0.943703,0.192433,0.001777,-0.001794,0.017575
0.012500,-0.001265,0.020924,0.335001,0.335657,-0.714794,-0.203689,-0.000481,0.000654,-0.010435,0.202360,0.216339,1.476500,1.505923,-0.170607,0.067795,0.001746,-0.001865,0.017993
0.012917,0.320206,0.020541,-0.928996,0.982846,0.000000,0.000000,-0.000583,0.000648,-0.010712,-0.317704,-0.024632,-0.417401,0.525135,0.000000,0.000000,0.001820,-0.001882,0.018071
0.013333,0.199646,-0.019634,-0.610302,0.642427,0.000000,0.000000,-0.000686,0.000659,-0.011011,0.002418,0.135945,1.319860,1.326844,-0.158570,0.036602,0.001841,-0.001928,0.018457
0.013750,0.360286,-0.099986,-0.928016,1.000509,0.000000,0.000000,-0.000797,0.000692,-0.011299,0.002481,0.136072,0.689791,0.703088,-0.301582,-0.087215,0.001854,-0.001982,0.018755
