BioWare Version 5.5.1.0 Export,,,,,,,,,,,,,,,,,,
Device:,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,,
Samples (#):,7484,7484,7484,7484,7484,7484,7484,7484,7484,7484,7484,7484,7484,7484,7484,7484,,
Rate (Hz):,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,,
Contact period start (sample #):,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Contact period end (sample #):,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,7483,,
Contact period start time (s):,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
Contact period end time (s):,3.117917,3.117917,3.117917,3.117917,3.117917,3.117917,3.117917,3.117917,3.117917,3.117917,3.117917,3.117917,3.117917,3.117917,3.117917,3.117917,,
First sample time (s):,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
Normalized force (N):,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,
Normalized length (m):,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,
File Information,,,,,,,,,,,,,,,,,,
Date,"Jun 20, 2024  16:32:57",,,,,,,,,,,,,,,,,
Name,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Classification,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,
abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.000000,1.744479,4.233075,214.061661,214.110618,-0.008772,0.218668,0.000000,0.000000,0.000000,-2.041013,-1.780671,360.809592,360.819759,0.012745,-0.146770,0.000000,0.000000,0.000000
0.000417,1.664000,4.434082,213.273498,213.326076,-0.007386,0.219683,-0.000718,-0.001825,0.088930,-1.961061,-1.740347,359.868027,359.877578,0.011480,-0.146853,0.000814,0.000714,0.150021
0.000833,1.945390,4.313427,213.431128,213.483574,-0.009157,0.218777,-0.001507,-0.003634,0.177837,-1.841008,-1.539616,360.018333,360.026333,0.012285,-0.145442,0.001612,0.001369,0.300128
0.001250,1.904928,4.353730,213.273505,213.326444,-0.008066,0.219704,-0.002312,-0.005450,0.266668,-2.161192,-1.539489,361.597268,361.607004,0.012277,-0.146030,0.002476,0.002039,0.450618
0.001667,2.025615,4.434209,212.642481,212.698354,-0.008430,0.218258,-0.003133,-0.007281,0.355335,-1.961187,-1.941290,360.654572,360.665128,0.011729,-0.146354,0.003302,0.002814,0.600989
0.002083,1.824894,4.273123,212.957255,213.007940,-0.008992,0.219533,-0.003902,-0.009076,0.444067,-1.881235,-1.860981,361.122743,361.132438,0.012345,-0.145715,0.004094,0.003612,0.751403
0.002500,1.744415,4.313681,213.273502,213.324255,-0.009269,0.217644,-0.004643,-0.010865,0.532800,-1.921023,-2.102036,360.811710,360.822947,0.012177,-0.146724,0.004894,0.004454,0.901773
0.002917,1.865038,4.233075,211.695215,211.745747,-0.008743,0.221373,-0.005403,-0.012631,0.621258,-1.960935,-1.860854,360.967877,360.978000,0.012086,-0.146237,0.005731,0.005232,1.052177
0.003333,1.744415,4.192644,213.745904,213.794136,-0.007854,0.218999,-0.006127,-0.014375,0.710133,-2.281246,-1.660038,361.128942,361.139962,0.011302,-0.146355,0.006645,0.005955,1.202614
0.003750,1.583839,4.112420,213.114889,213.160448,-0.007214,0.218109,-0.006821,-0.016111,0.798963,-2.081052,-1.901051,360.809761,360.820771,0.012200,-0.146143,0.007521,0.006739,1.352941
0.004167,1.905182,4.353220,212.955783,213.008793,-0.009322,0.218478,-0.007573,-0.017897,0.887618,-2.000974,-2.021515,360.338163,360.349389,0.012663,-0.147081,0.008352,0.007556,1.503290
0.004583,1.623792,4.192517,211.693749,211.741487,-0.008056,0.219817,-0.008283,-0.019666,0.976021,-1.881173,-1.780502,362.861125,362.870369,0.011097,-0.145189,0.009166,0.008323,1.654218
0.005000,1.824704,4.354112,213.273494,213.325739,-0.008356,0.218150,-0.009032,-0.021458,1.064644,-2.201231,-1.901008,361.592416,361.604113,0.012280,-0.144153,0.010053,0.009092,1.805026
0.005417,1.864911,4.192644,211.378482,211.428283,-0.008441,0.220668,-0.009784,-0.023230,1.152938,-2.081115,-1.700277,362.392639,362.402603,0.011411,-0.146759,0.010923,0.009804,1.955977
0.005833,1.543441,4.394288,212.641988,212.692988,-0.007374,0.216187,-0.010458,-0.025045,1.241374,-2.001163,-1.539489,362.545370,362.554162,0.011307,-0.145349,0.011770,0.010481,2.106940
0.006250,1.663810,4.353730,211.535131,211.586472,-0.008228,0.219681,-0.011148,-0.026867,1.329656,-2.121154,-1.901093,361.279241,361.290469,0.012283,-0.145189,0.012638,0.011243,2.257550
0.006667,1.744288,4.434082,212.483866,212.537283,-0.007897,0.216079,-0.011858,-0.028698,1.418060,-2.000974,-1.820699,361.126525,361.136658,0.011991,-0.146031,0.013485,0.012015,2.408128
0.007083,1.583902,4.273251,211.535624,211.584710,-0.008208,0.219178,-0.012549,-0.030492,1.506309,-2.081241,-1.941248,362.542775,362.553946,0.011865,-0.144989,0.014352,0.012819,2.559078
0.007500,1.865165,4.313427,212.168116,212.220154,-0.008877,0.217475,-0.013292,-0.032278,1.594570,-2.161067,-1.981529,362.383175,362.395036,0.013069,-0.145806,0.015247,0.013636,2.710039
0.007917,1.664000,4.192772,210.747460,210.795731,-0.008101,0.219231,-0.014016,-0.034045,1.682458,-2.161130,-1.900881,361.755924,361.767374,0.011992,-0.145463,0.016150,0.014422,2.860901
0.008333,1.905309,4.353603,210.430724,210.484379,-0.009119,0.220574,-0.014774,-0.035848,1.770335,-2.201231,-1.740305,363.012911,363.023756,0.012140,-0.144375,0.017068,0.015164,3.011982
0.008750,1.623856,4.353730,212.957253,213.007943,-0.008320,0.218474,-0.015478,-0.037662,1.858738,-2.241081,-1.820741,361.756877,361.768400,0.010909,-0.144862,0.017999,0.015909,3.162878
0.009167,1.744352,4.353730,210.746491,210.798675,-0.008120,0.219192,-0.016194,-0.039470,1.946725,-2.241144,-1.700108,362.855764,362.866668,0.011878,-0.144291,0.018919,0.016637,3.313937
0.009583,1.704398,4.273123,211.063222,211.113354,-0.007784,0.218882,-0.016899,-0.041265,2.034679,-2.041202,-1.860938,362.073643,362.084179,0.011781,-0.145952,0.019800,0.017415,3.464877
0.010000,1.583585,4.393906,211.536112,211.587667,-0.009774,0.218107,-0.017581,-0.043098,2.122720,-2.281309,-2.061712,362.387425,362.400471,0.011806,-0.145492,0.020714,0.018249,3.615850
0.010417,1.784559,4.555246,210.588851,210.645672,-0.007035,0.220091,-0.018308,-0.044974,2.210542,-2.001037,-1.901178,362.384652,362.395164,0.012133,-0.145209,0.021565,0.019061,3.766866
0.010833,1.744479,4.394160,210.745504,210.798528,-0.008748,0.217087,-0.019043,-0.046805,2.298364,-1.961061,-2.021599,362.703819,362.714755,0.012299,-0.146585,0.022398,0.019900,3.917992
0.011250,1.824894,4.232693,211.063710,211.114035,-0.007186,0.219413,-0.019781,-0.048594,2.386241,-2.161130,-2.101909,363.020082,363.032599,0.011585,-0.145841,0.023277,0.020745,4.069130
0.011667,1.583712,4.434336,210.429744,210.482419,-0.008723,0.218978,-0.020474,-0.050422,2.474019,-2.041202,-1.740389,361.596992,361.606941,0.012254,-0.145397,0.024135,0.021504,4.220004
0.012083,1.824767,4.353730,211.219378,211.272124,-0.008908,0.219488,-0.021221,-0.052239,2.562016,-2.041265,-1.860854,363.176743,363.187246,0.012201,-0.146268,0.024991,0.022265,4.371250
0.012500,1.864975,4.313681,211.853828,211.905948,-0.008263,0.216752,-0.021981,-0.054044,2.650212,-2.121217,-1.780586,363.644753,363.655298,0.012650,-0.145032,0.025881,0.023010,4.522693
0.012917,1.664127,4.393906,211.377501,211.429714,-0.009958,0.218010,-0.022683,-0.055872,2.738242,-2.281246,-1.740432,363.016163,363.027503,0.012880,-0.146196,0.026812,0.023746,4.673916
0.013333,1.583585,4.433827,210.274080,210.326782,-0.009201,0.218353,-0.023354,-0.057706,2.825889,-2.161130,-1.860896,361.912869,361.924106,0.012264,-0.145859,0.027729,0.024527,4.824856
0.013750,1.664064,4.273123,209.640116,209.690264,-0.007667,0.217995,-0.024022,-0.059497,2.913283,-2.280994,-2.061669,362.862443,362.875469,0.011700,-0.146061,0.028663,0.025367,4.976114
0.014167,1.382610,4.273123,209.643059,209.691162,-0.008232,0.221157,-0.024646,-0.061281,3.000755,-2.161130,-1.981318,364.751448,364.763231,0.011801,-0.145019,0.029580,0.026190,5.127842
0.014583,1.784496,4.313427,211.378971,211.430507,-0.008731,0.216456,-0.025353,-0.063086,3.088654,-2.281057,-1.860811,363.016484,363.028420,0.011969,-0.145268,0.030508,0.026985,5.279252
0.015000,1.664000,4.474894,210.589341,210.643453,-0.007633,0.217488,-0.026055,-0.064931,3.176509,-2.081241,-2.021642,363.488568,363.500148,0.012380,-0.145511,0.031384,0.027813,5.430760
0.015417,1.664000,4.353475,211.377013,211.428388,-0.008391,0.219062,-0.026748,-0.066768,3.264375,-2.001100,-1.981402,364.747713,364.758584,0.012323,-0.144416,0.032237,0.028652,5.582586
0.015833,1.664000,4.554864,209.169186,209.225390,-0.009430,0.220798,-0.027438,-0.068649,3.351835,-2.201231,-2.142106,363.805326,363.818291,0.012384,-0.145674,0.033143,0.029525,5.734280
0.016250,1.623983,4.514688,211.380935,211.435379,-0.008379,0.216927,-0.028115,-0.070527,3.439658,-2.241144,-2.021599,364.435046,364.447544,0.011459,-0.144232,0.034071,0.030371,5.886052
0.016667,1.583648,4.434209,209.957833,210.010623,-0.007952,0.218679,-0.028781,-0.072372,3.527305,-2.201294,-1.941205,363.964257,363.976091,0.012106,-0.145791,0.034980,0.031182,6.037747
0.017083,1.623792,4.313172,210.904116,210.954465,-0.008871,0.219826,-0.029449,-0.074194,3.615138,-2.041076,-1.901051,364.121233,364.131916,0.011988,-0.145581,0.035836,0.031980,6.189410
0.017500,1.543377,4.555118,211.221830,211.276579,-0.008208,0.216818,-0.030097,-0.076064,3.702972,-1.961187,-1.941290,363.491681,363.502156,0.012179,-0.146130,0.036673,0.032789,6.340941
0.017917,1.543568,4.393906,209.012041,209.063919,-0.009247,0.219682,-0.030738,-0.077887,3.790203,-2.161192,-1.981445,363.963287,363.975097,0.012280,-0.145485,0.037573,0.033614,6.492560
0.018333,1.503233,4.112420,208.853431,208.899323,-0.007815,0.219121,-0.031384,-0.079636,3.877313,-2.361324,-2.021642,363.967337,363.980611,0.011403,-0.146080,0.038538,0.034465,6.644202
0.018750,1.744352,4.353730,209.958324,210.010704,-0.007676,0.218698,-0.032091,-0.081439,3.964697,-2.281246,-2.182218,363.811502,363.825198,0.011485,-0.146576,0.039499,0.035366,6.795822
0.019167,1.704208,4.434082,209.642080,209.695892,-0.007994,0.219536,-0.032790,-0.083278,4.052037,-2.361198,-2.222584,364.119616,364.134054,0.012033,-0.144931,0.040458,0.036286,6.947452
0.019583,1.503360,4.393778,209.168692,209.220235,-0.008755,0.220309,-0.033430,-0.085123,4.139245,-2.081178,-2.182303,363.176258,363.188778,0.012388,-0.146223,0.041342,0.037182,7.098928
0.020000,1.503423,4.554864,209.484936,209.539842,-0.007793,0.220461,-0.034065,-0.087004,4.226498,-2.041327,-1.941290,364.436017,364.446904,0.012158,-0.145452,0.042192,0.038027,7.250788
0.020417,1.623856,4.474385,209.327308,209.381419,-0.007986,0.219328,-0.034716,-0.088860,4.313673,-2.001289,-2.222500,365.855202,365.867426,0.011290,-0.144399,0.043021,0.038928,7.403009
0.020833,1.382737,4.272996,208.535220,208.583577,-0.007480,0.221005,-0.035318,-0.090660,4.400629,-1.881109,-2.142106,364.124493,364.135652,0.012326,-0.146759,0.043819,0.039820,7.554826
0.021250,1.503423,4.353603,208.694327,208.745147,-0.008615,0.219495,-0.035941,-0.092488,4.487596,-1.961376,-2.061669,363.810524,363.821653,0.011985,-0.146896,0.044633,0.040682,7.706545
0.021667,1.583521,4.635215,209.009588,209.066977,-0.010842,0.218571,-0.036582,-0.094408,4.574672,-2.001289,-2.021684,365.384122,365.395196,0.012117,-0.145672,0.045478,0.041527,7.858624
0.022083,1.382547,4.756125,209.168694,209.227328,-0.008089,0.218103,-0.037186,-0.096362,4.661837,-2.201168,-2.021642,364.595113,364.607362,0.012629,-0.146435,0.046370,0.042359,8.010517
0.022500,1.583521,4.474512,209.482977,209.536742,-0.008444,0.218375,-0.037831,-0.098243,4.749012,-2.041139,-1.860981,363.493145,363.503640,0.012372,-0.146748,0.047229,0.043159,8.162092
0.022917,1.583585,4.433954,208.220939,208.274163,-0.008813,0.219178,-0.038477,-0.100091,4.835847,-2.001415,-2.061966,364.119786,364.131125,0.012343,-0.145259,0.048088,0.044002,8.313886
0.023333,1.382737,4.393778,208.063794,208.114775,-0.007973,0.219086,-0.039081,-0.101919,4.922508,-2.321348,-2.021599,365.853101,365.866050,0.012418,-0.144732,0.049016,0.044841,8.466095
0.023750,1.583521,4.313681,207.432777,207.483668,-0.008688,0.221373,-0.039730,-0.103724,5.009036,-2.081052,-1.941290,364.285404,364.296521,0.011711,-0.146878,0.049886,0.045681,8.618077
0.024167,1.623792,4.353730,208.219963,208.271805,-0.008819,0.214953,-0.040412,-0.105550,5.095729,-1.881173,-2.302809,365.537824,365.549918,0.012549,-0.145116,0.050703,0.046612,8.770330
0.024583,1.744288,4.554354,208.064779,208.121928,-0.008061,0.216920,-0.041131,-0.107422,5.182565,-2.161318,-2.262654,366.010715,366.024090,0.011942,-0.144482,0.051559,0.047547,8.922802
0.025000,1.744415,4.393523,209.957833,210.011042,-0.008623,0.218691,-0.041855,-0.109261,5.269752,-1.801221,-2.101909,366.015462,366.025929,0.012429,-0.146313,0.052360,0.048428,9.075242
0.025417,1.704017,4.353348,207.589924,207.642558,-0.008867,0.216138,-0.042559,-0.111072,5.356357,-2.161192,-2.021726,365.067365,365.079360,0.012153,-0.145493,0.053235,0.049287,9.227453
0.025833,1.583521,4.273251,206.801759,206.851966,-0.006789,0.220450,-0.043222,-0.112886,5.442601,-2.161255,-2.182303,365.544842,365.557745,0.012406,-0.146943,0.054119,0.050202,9.379718
0.026250,1.503296,4.675646,207.117025,207.175249,-0.008039,0.220017,-0.043840,-0.114781,5.528922,-1.921085,-2.423400,365.381818,365.394904,0.012471,-0.145612,0.054953,0.051187,9.531983
0.026667,1.302512,4.313299,207.750007,207.798860,-0.008921,0.218376,-0.044421,-0.116615,5.615408,-2.161255,-2.302894,365.535559,365.549202,0.012227,-0.143911,0.055837,0.052163,9.684213
0.027083,1.663937,4.474258,207.274658,207.329621,-0.008233,0.219634,-0.045070,-0.118465,5.701849,-2.161130,-2.423358,364.590383,364.604841,0.012624,-0.144867,0.056746,0.053150,9.836268
0.027500,1.382610,4.433954,207.906161,207.958033,-0.007499,0.217912,-0.045677,-0.120315,5.788334,-2.281309,-2.222415,365.696918,365.710786,0.011968,-0.144913,0.057666,0.054104,9.988609
0.027917,1.543187,4.433699,206.486494,206.539854,-0.008393,0.218075,-0.046292,-0.122157,5.874480,-1.961313,-2.423274,366.323236,366.336502,0.012622,-0.144039,0.058522,0.055086,10.141178
0.028333,1.302385,4.353093,206.643145,206.693093,-0.008807,0.218198,-0.046882,-0.123988,5.960559,-2.201231,-2.222373,366.015291,366.028657,0.012127,-0.145993,0.059411,0.056043,10.293630
0.028750,1.744288,4.514051,206.487961,206.544661,-0.007802,0.218586,-0.047556,-0.125858,6.046596,-2.041265,-2.463513,364.914140,364.928164,0.011686,-0.146248,0.060264,0.057030,10.445808
0.029167,1.422945,4.514561,206.327888,206.382178,-0.007246,0.220094,-0.048165,-0.127722,6.132610,-1.921085,-2.142106,365.699868,365.711188,0.012095,-0.145831,0.061095,0.057953,10.598150
0.029583,1.342466,4.273123,206.801268,206.849767,-0.008011,0.219920,-0.048728,-0.129536,6.218700,-2.241333,-2.262486,366.013997,366.027852,0.012130,-0.145388,0.061979,0.058888,10.750623
0.030000,1.302258,4.514433,206.170738,206.224269,-0.008988,0.218926,-0.049293,-0.131392,6.304703,-1.841197,-2.262654,365.852132,365.863762,0.012711,-0.144699,0.062788,0.059819,10.903062
0.030417,1.583648,4.393778,206.959388,207.012080,-0.009826,0.218391,-0.049930,-0.133234,6.390805,-2.041327,-2.101909,365.697919,365.709657,0.012113,-0.145234,0.063628,0.060715,11.055469
0.030833,1.543441,4.433954,205.853514,205.907045,-0.009064,0.220357,-0.050568,-0.135067,6.476643,-2.081115,-2.222288,366.008776,366.021439,0.012651,-0.144490,0.064489,0.061616,11.207995
0.031250,1.423008,4.272869,205.697357,205.746653,-0.006943,0.218142,-0.051177,-0.136878,6.562372,-2.041076,-1.981445,366.641286,366.652321,0.012440,-0.144580,0.065342,0.062469,11.360696
0.031667,1.543314,4.554354,205.852540,205.908699,-0.007774,0.218177,-0.051801,-0.138759,6.648155,-2.041265,-2.141937,366.326833,366.338782,0.012271,-0.144681,0.066193,0.063356,11.513311
0.032083,1.382610,4.594658,206.172699,206.228524,-0.006758,0.219434,-0.052408,-0.140648,6.734071,-2.041076,-2.222500,365.700037,365.712486,0.011569,-0.145217,0.067035,0.064285,11.665882
0.032500,1.663873,4.272742,206.647071,206.697936,-0.008255,0.217143,-0.053073,-0.142476,6.820119,-1.921149,-2.342964,367.905629,367.918105,0.012198,-0.144937,0.067858,0.065255,11.818968
0.032917,1.543187,4.635598,206.328372,206.386209,-0.007272,0.215242,-0.053719,-0.144374,6.906078,-2.121405,-2.383076,367.118738,367.132602,0.011985,-0.145388,0.068731,0.066254,11.972044
0.033333,1.462899,4.514178,205.855477,205.910163,-0.008399,0.219260,-0.054334,-0.146252,6.991829,-2.161255,-2.503752,367.902194,367.917062,0.012234,-0.144014,0.069637,0.067283,12.125096
0.033750,1.463025,4.353475,205.063888,205.115312,-0.009239,0.219340,-0.054955,-0.148089,7.077339,-2.281372,-2.423274,365.226491,365.241655,0.012071,-0.145527,0.070573,0.068276,12.277547
0.034167,1.623729,4.514051,205.223481,205.279542,-0.008141,0.218857,-0.055609,-0.149953,7.162815,-2.201546,-2.101824,366.484957,366.497596,0.012017,-0.144475,0.071493,0.069185,12.430172
0.034583,1.463025,4.434209,204.907727,204.960921,-0.008436,0.219215,-0.056224,-0.151809,7.248238,-2.161130,-2.262654,366.641439,366.654790,0.012279,-0.144539,0.072411,0.070123,12.582929
0.035000,1.382547,4.473875,205.222993,205.276408,-0.007757,0.218867,-0.056803,-0.153684,7.333758,-2.361260,-2.343006,366.645677,366.660766,0.012124,-0.145431,0.073364,0.071102,12.735763
0.035417,1.342466,4.675518,205.699310,205.756820,-0.009179,0.217507,-0.057373,-0.155607,7.419367,-2.121279,-2.463597,367.585955,367.600331,0.012418,-0.143845,0.074248,0.072106,12.888924
0.035833,1.462899,4.514433,204.748135,204.803122,-0.009251,0.218018,-0.057969,-0.157493,7.504789,-1.881235,-2.262654,368.533547,368.545295,0.011276,-0.143205,0.075084,0.073060,13.042338
0.036250,1.382674,4.433699,205.382583,205.435086,-0.007591,0.220052,-0.058570,-0.159352,7.590255,-2.401299,-2.222373,367.431897,367.446464,0.012373,-0.144988,0.076035,0.074008,13.195533
0.036667,1.663937,4.514561,204.433360,204.489972,-0.007698,0.221593,-0.059224,-0.161208,7.675524,-2.201357,-2.503625,367.745211,367.760321,0.012334,-0.144227,0.076966,0.075018,13.348683
0.037083,1.382610,4.232820,204.749604,204.798020,-0.006965,0.219162,-0.059834,-0.163013,7.760814,-2.201231,-2.302682,366.957202,366.971029,0.011912,-0.144111,0.077883,0.076000,13.501746
0.037500,1.583331,4.554100,204.751568,204.808328,-0.007989,0.220700,-0.060469,-0.164866,7.846105,-2.201231,-2.423274,368.532725,368.547266,0.012397,-0.144080,0.078800,0.076995,13.655127
0.037917,1.422945,4.232820,204.435317,204.484083,-0.008933,0.220585,-0.061084,-0.166661,7.931363,-2.201168,-2.342964,367.588873,367.602930,0.012251,-0.144758,0.079717,0.077963,13.808409
0.038333,1.583458,4.353348,205.223475,205.275751,-0.010070,0.218903,-0.061727,-0.168475,8.016752,-2.201231,-2.142021,368.371674,368.384478,0.012134,-0.142835,0.080626,0.078889,13.961799
0.038750,1.503233,4.474003,204.275727,204.330245,-0.008472,0.219342,-0.062345,-0.170328,8.101977,-2.081241,-2.423189,367.745211,367.759083,0.012317,-0.144238,0.081507,0.079876,14.115037
0.039167,1.302195,4.433954,204.907730,204.959834,-0.007748,0.219214,-0.062910,-0.172178,8.187224,-2.161255,-2.383034,367.272318,367.286408,0.012073,-0.143979,0.082408,0.080861,14.268187
0.039583,1.422945,4.433827,203.645199,203.698431,-0.008477,0.218946,-0.063491,-0.174020,8.272251,-2.241270,-2.222373,368.532263,368.545779,0.012401,-0.143811,0.083347,0.081807,14.421589
0.040000,1.382674,4.353730,204.908211,204.959122,-0.008090,0.217077,-0.064073,-0.175867,8.357465,-2.401488,-2.342922,367.590521,367.605832,0.011737,-0.144461,0.084334,0.082797,14.574861
0.040417,1.422881,4.755870,203.802827,203.863276,-0.008307,0.217881,-0.064658,-0.177796,8.442482,-2.361386,-2.664244,368.221367,368.238577,0.011353,-0.144167,0.085307,0.083865,14.728199
0.040833,1.342466,4.393651,204.116622,204.168317,-0.007951,0.219803,-0.065228,-0.179663,8.527476,-2.161130,-2.383076,367.587109,367.601186,0.011343,-0.142957,0.086230,0.084866,14.881416
0.041250,1.422818,4.554354,203.644703,203.700593,-0.008151,0.218915,-0.065821,-0.181541,8.612415,-2.281183,-2.222288,367.746851,367.760641,0.012165,-0.144566,0.087163,0.085809,15.034632
0.041667,1.503170,4.434082,204.433849,204.487455,-0.008626,0.217291,-0.066439,-0.183391,8.697552,-2.161507,-2.302640,367.747514,367.761075,0.012146,-0.144557,0.088075,0.086774,15.187959
0.042083,1.462899,4.353093,204.593931,204.645465,-0.008448,0.217952,-0.067060,-0.185227,8.782756,-2.201420,-2.463428,369.164751,369.179534,0.012373,-0.144132,0.088998,0.087773,15.341635
0.042500,1.583521,4.594912,204.120053,204.177905,-0.008011,0.218124,-0.067694,-0.187111,8.867817,-2.321474,-2.222500,368.534697,368.548710,0.012053,-0.144111,0.089943,0.088724,15.495235
0.042917,1.342466,4.393651,203.802830,203.854605,-0.008286,0.216889,-0.068293,-0.188956,8.952756,-2.121217,-2.342879,368.533241,368.546792,0.011665,-0.143197,0.090857,0.089697,15.648834
0.043333,1.664000,4.393906,203.802832,203.856983,-0.009021,0.220144,-0.068958,-0.190781,9.037674,-2.361324,-2.423274,369.163116,369.178622,0.011860,-0.143240,0.091825,0.090682,15.802587
