BioWare Version 5.5.1.0 Export,,,,,,,,,,,,,,,,,,
Device:,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,,
Samples (#):,12014,12014,12014,12014,12014,12014,12014,12014,12014,12014,12014,12014,12014,12014,12014,12014,,
Rate (Hz):,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,,
Contact period start (sample #):,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Contact period end (sample #):,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,,
Contact period start time (s):,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
Contact period end time (s):,5.005417,5.005417,5.005417,5.005417,5.005417,5.005417,5.005417,5.005417,5.005417,5.005417,5.005417,5.005417,5.005417,5.005417,5.005417,5.005417,,
First sample time (s):,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
Normalized force (N):,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,
Normalized length (m):,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,
File Information,,,,,,,,,,,,,,,,,,
Date,"Jun 26, 2024  14:49:13",,,,,,,,,,,,,,,,,
Name,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Classification,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,
abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.000000,-0.591074,1.876878,598.969231,598.972463,0.017650,-0.008021,0.014042,-0.025122,57.073606,0.122463,0.514587,-3.892022,3.927802,0.000000,0.000000,-0.015849,-0.073472,-0.426077
0.000417,-0.550866,1.595520,600.547028,600.549400,0.017489,-0.007607,0.014263,-0.025798,57.323516,0.082361,0.675417,-2.631438,2.717984,0.000000,0.000000,-0.015897,-0.073742,-0.427382
0.000833,-0.390353,1.474101,597.548576,597.550522,0.017396,-0.006617,0.014446,-0.026432,57.572845,0.242328,0.675248,-4.365736,4.424289,0.000000,0.000000,-0.015979,-0.074015,-0.429081
0.001250,-0.510786,1.635569,599.599762,599.602210,0.017623,-0.006886,0.014658,-0.027119,57.822547,0.122526,0.554784,-4.367045,4.403848,0.000000,0.000000,-0.016046,-0.074277,-0.430845
0.001667,-0.631155,1.877133,599.756897,599.760167,0.017906,-0.007735,0.014919,-0.027884,58.072446,0.242328,0.876106,-3.574142,3.687923,0.000000,0.000000,-0.016136,-0.074603,-0.432455
0.002083,-0.711506,1.876751,599.916992,599.920350,0.017632,-0.007640,0.015190,-0.028663,58.322334,0.202226,0.635262,-4.525820,4.574659,0.000000,0.000000,-0.016223,-0.074884,-0.434253
0.002500,-0.430497,1.836703,598.968262,598.971232,0.017636,-0.007648,0.015386,-0.029429,58.572014,0.202415,0.635220,-4.210548,4.263002,0.000000,0.000000,-0.016296,-0.075146,-0.436008
0.002917,-0.390353,1.796654,599.598289,599.601108,0.016950,-0.007820,0.015560,-0.030180,58.821792,0.042260,0.594981,-3.896570,3.941959,0.000000,0.000000,-0.016331,-0.075405,-0.437718
0.003333,-0.510532,1.796654,599.442131,599.445041,0.017573,-0.007362,0.015761,-0.030940,59.071537,0.122400,0.715529,-4.837004,4.891173,0.000000,0.000000,-0.016382,-0.075692,-0.439581
0.003750,-0.470705,1.957485,598.967766,598.971149,0.017417,-0.007105,0.015960,-0.031722,59.321019,0.202289,0.675417,-3.578374,3.647173,0.000000,0.000000,-0.016460,-0.075985,-0.441149
0.004167,-0.470641,1.635951,597.230873,597.233299,0.017857,-0.007561,0.016154,-0.032451,59.570162,0.202352,0.795923,-3.427897,3.524900,0.000000,0.000000,-0.016528,-0.076328,-0.442533
0.004583,-0.430307,1.997661,599.757393,599.760874,0.017999,-0.007746,0.016341,-0.033256,59.819808,-0.037566,1.077049,-2.633708,2.845674,0.000000,0.000000,-0.016535,-0.076732,-0.443685
0.005000,-0.510722,1.957612,598.650536,598.653954,0.017430,-0.007109,0.016557,-0.034080,60.069334,0.042386,0.715572,-2.636155,2.731877,0.000000,0.000000,-0.016572,-0.077066,-0.444893
0.005417,-0.631155,2.038091,598.810127,598.813928,0.017159,-0.007574,0.016823,-0.034906,60.318838,0.402546,0.876191,-4.215585,4.324455,0.000000,0.000000,-0.016709,-0.077420,-0.446474
0.005833,-0.791922,1.796909,598.967766,598.970985,0.017334,-0.007275,0.017119,-0.035664,60.568419,0.322406,0.876318,-3.265055,3.395948,0.000000,0.000000,-0.016852,-0.077777,-0.447977
0.006250,-0.470641,1.675999,599.283508,599.286037,0.017186,-0.006892,0.017343,-0.036373,60.818066,0.362570,0.755727,-4.371103,4.450744,0.000000,0.000000,-0.016997,-0.078114,-0.449711
0.006667,-0.550866,1.716175,598.809158,598.811871,0.017373,-0.006440,0.017573,-0.037099,61.067646,0.322531,0.956627,-4.209712,4.329069,0.000000,0.000000,-0.017131,-0.078518,-0.451411
0.007083,-0.631028,1.917309,599.441635,599.445034,0.017140,-0.006819,0.017827,-0.037876,61.317392,0.282430,1.237795,-3.269940,3.507764,0.000000,0.000000,-0.017246,-0.078995,-0.452805
0.007500,-0.591074,1.796781,599.756401,599.759384,0.017460,-0.007174,0.018076,-0.038644,61.567389,0.202478,0.956542,-2.791513,2.957789,0.000000,0.000000,-0.017347,-0.079410,-0.454111
0.007917,-0.591074,1.957740,601.492325,601.495801,0.017796,-0.007995,0.018328,-0.039421,61.817846,0.362444,0.916261,-4.372897,4.482536,0.000000,0.000000,-0.017471,-0.079789,-0.455768
0.008333,-0.671299,1.555854,600.863754,600.866144,0.017269,-0.006680,0.018600,-0.040122,62.068129,0.122400,0.836078,-3.576910,3.675363,0.000000,0.000000,-0.017530,-0.080138,-0.457325
0.008750,-0.631155,1.917436,599.123924,599.127325,0.017814,-0.007008,0.018857,-0.040876,62.317896,0.002347,0.755684,-3.740891,3.816455,0.000000,0.000000,-0.017550,-0.080453,-0.458807
0.009167,-0.510722,1.636205,599.283028,599.285479,0.017301,-0.006889,0.019089,-0.041600,62.567630,0.162502,0.675290,-2.793784,2.878828,0.000000,0.000000,-0.017626,-0.080756,-0.459993
0.009583,-0.671489,1.957867,599.913559,599.917130,0.017408,-0.007831,0.019347,-0.042388,62.817594,0.442459,0.916472,-2.167959,2.394940,0.000000,0.000000,-0.017750,-0.081105,-0.461071
0.010000,-0.510849,1.877260,600.544563,600.547715,0.016933,-0.006894,0.019576,-0.043178,63.067766,-0.157494,0.675333,-4.052565,4.111467,0.000000,0.000000,-0.017742,-0.081406,-0.462585
0.010417,-0.591137,1.917819,600.385956,600.389310,0.017000,-0.006808,0.019820,-0.043963,63.317905,0.082424,0.715572,-3.420392,3.495413,0.000000,0.000000,-0.017768,-0.081695,-0.464076
0.010833,-0.631345,1.756606,599.914536,599.917439,0.017183,-0.007444,0.020083,-0.044718,63.567902,0.202478,0.635220,-3.741217,3.800158,0.000000,0.000000,-0.017836,-0.081982,-0.465547
0.011250,-0.671235,1.917691,599.914047,599.917488,0.017407,-0.006906,0.020346,-0.045500,63.817866,0.082361,0.876191,-2.796724,2.931920,0.000000,0.000000,-0.017882,-0.082342,-0.466844
0.011667,-0.470515,1.837212,599.913063,599.916061,0.017500,-0.006715,0.020570,-0.046279,64.067775,0.122589,1.036852,-3.743815,3.886675,0.000000,0.000000,-0.017927,-0.082754,-0.468403
0.012083,-0.671553,1.958249,599.121964,599.125540,0.017375,-0.007011,0.020819,-0.047076,64.317530,0.082361,0.916472,-4.683929,4.773457,0.000000,0.000000,-0.017959,-0.083145,-0.470300
0.012500,-0.430371,1.797291,600.070694,600.073540,0.016885,-0.007721,0.021029,-0.047844,64.567417,0.002599,0.916303,-4.843350,4.929265,0.000000,0.000000,-0.017968,-0.083543,-0.472406
0.012917,-0.631028,1.917819,598.963341,598.966743,0.016878,-0.007469,0.021267,-0.048635,64.817073,0.042449,1.157358,-6.261089,6.367301,0.000000,0.000000,-0.017991,-0.084000,-0.474796
0.013333,-0.470578,1.917946,599.123436,599.126691,0.017136,-0.007191,0.021474,-0.049445,65.066784,0.162313,1.036894,-4.530364,4.650343,0.000000,0.000000,-0.018053,-0.084438,-0.476825
0.013750,-0.470451,2.078776,600.385483,600.389266,0.017100,-0.006822,0.021681,-0.050295,65.316748,0.202478,0.996697,-4.841561,4.947233,0.000000,0.000000,-0.018140,-0.084856,-0.478822
0.014167,-0.631345,1.998680,598.807190,598.810858,0.017491,-0.007018,0.021933,-0.051144,65.566415,0.282367,0.996782,-4.847105,4.956585,0.000000,0.000000,-0.018241,-0.085266,-0.480906
0.014583,-0.631028,2.159128,599.594856,599.599076,0.017081,-0.007114,0.022202,-0.052016,65.816137,0.122463,0.916261,-5.788657,5.862003,0.000000,0.000000,-0.018309,-0.085650,-0.483143
0.015000,-0.711697,1.917946,598.804733,598.808228,0.016945,-0.007379,0.022492,-0.052835,66.065704,0.202541,0.876233,-4.211016,4.305980,0.000000,0.000000,-0.018374,-0.086021,-0.484953
0.015417,-0.711697,1.958376,598.962852,598.966477,0.016331,-0.007471,0.022781,-0.053648,66.315316,0.002536,0.916430,-3.424307,3.544817,0.000000,0.000000,-0.018386,-0.086400,-0.486565
0.015833,-0.591201,1.958758,599.754936,599.758426,0.017128,-0.007187,0.023027,-0.054464,66.565181,-0.037692,0.916345,-5.312829,5.391406,0.000000,0.000000,-0.018387,-0.086793,-0.488616
0.016250,-0.470705,1.958376,600.068253,600.071633,0.017220,-0.007368,0.023237,-0.055274,66.815122,0.162691,1.077006,-4.849227,4.970051,0.000000,0.000000,-0.018438,-0.087231,-0.490646
0.016667,-0.551120,1.877897,599.121964,599.125160,0.016811,-0.006818,0.023461,-0.056093,67.064855,0.122400,1.077133,-4.531196,4.659070,0.000000,0.000000,-0.018498,-0.087674,-0.492589
0.017083,-0.550993,2.320851,599.594368,599.599113,0.017295,-0.006576,0.023696,-0.057018,67.314686,0.202415,0.996782,-4.999535,5.101950,0.000000,0.000000,-0.018565,-0.088081,-0.494683
0.017500,-0.631091,2.159256,600.067764,600.071981,0.016791,-0.006832,0.023959,-0.057929,67.564637,0.042449,0.795797,-5.632979,5.689072,0.000000,0.000000,-0.018594,-0.088412,-0.496921
0.017917,-0.711697,2.159638,599.437210,599.441523,0.016705,-0.006285,0.024256,-0.058818,67.814457,0.042386,0.594896,-4.682300,4.720131,0.000000,0.000000,-0.018620,-0.088694,-0.498894
0.018333,-0.791858,1.998934,599.595345,599.599199,0.017094,-0.006547,0.024586,-0.059665,68.064245,0.162439,0.876148,-4.056337,4.153059,0.000000,0.000000,-0.018663,-0.089045,-0.500781
0.018750,-0.872146,2.038983,599.121964,599.126068,0.016728,-0.006647,0.024927,-0.060517,68.314000,-0.077605,0.956585,-6.264026,6.337120,0.000000,0.000000,-0.018650,-0.089443,-0.503095
0.019167,-0.631472,2.119080,600.384491,600.388563,0.016893,-0.007193,0.025201,-0.061420,68.563985,-0.037629,1.036894,-4.213636,4.339504,0.000000,0.000000,-0.018640,-0.089861,-0.505026
0.019583,-0.550866,2.481299,599.122940,599.128332,0.016811,-0.007239,0.025428,-0.062406,68.813674,0.082550,0.916388,-4.685246,4.774737,0.000000,0.000000,-0.018671,-0.090227,-0.507011
0.020000,-0.430434,2.159765,598.647598,598.651649,0.016536,-0.006386,0.025627,-0.063331,69.063121,0.162250,0.554826,-5.630055,5.659653,0.000000,0.000000,-0.018722,-0.090502,-0.509269
0.020417,-0.591074,2.199686,598.331841,598.336176,0.017002,-0.005839,0.025856,-0.064256,69.312547,0.002410,0.836078,-5.314141,5.379510,0.000000,0.000000,-0.018751,-0.090834,-0.511517
0.020833,-0.510913,2.360517,599.752975,599.757838,0.017010,-0.006669,0.026091,-0.065245,69.562334,0.242328,0.876064,-5.473250,5.548214,0.000000,0.000000,-0.018816,-0.091199,-0.513873
0.021250,-0.751968,2.602082,599.594856,599.600974,0.017311,-0.005679,0.026382,-0.066298,69.812220,-0.037503,0.916430,-6.731720,6.793917,0.000000,0.000000,-0.018834,-0.091561,-0.516471
0.021667,-0.671553,2.400947,600.227829,600.233007,0.016956,-0.006759,0.026685,-0.067310,70.062205,0.162565,0.675333,-4.999193,5.047220,0.000000,0.000000,-0.018882,-0.091871,-0.518707
0.022083,-0.912354,2.360899,599.277634,599.282979,0.016561,-0.006950,0.027026,-0.068302,70.311960,0.082424,0.836163,-5.471288,5.535427,0.000000,0.000000,-0.018925,-0.092213,-0.520954
